Package,LibPath,Version,Priority,Built
addinslist,/Users/ab/Library/R/3.4/library,0.2,NA,3.4.0
alr4,/Users/ab/Library/R/3.4/library,1.0.5,NA,3.4.0
bdsmatrix,/Users/ab/Library/R/3.4/library,1.3-3,NA,3.4.3
BiocGenerics,/Users/ab/Library/R/3.4/library,0.24.0,NA,3.4.2
BiocInstaller,/Users/ab/Library/R/3.4/library,1.28.0,NA,3.4.2
bit,/Users/ab/Library/R/3.4/library,1.1-12,NA,3.4.0
bit64,/Users/ab/Library/R/3.4/library,0.9-7,NA,3.4.0
bitops,/Users/ab/Library/R/3.4/library,1.0-6,NA,3.4.0
blob,/Users/ab/Library/R/3.4/library,1.1.0,NA,3.4.0
car,/Users/ab/Library/R/3.4/library,2.1-6,NA,3.4.3
carData,/Users/ab/Library/R/3.4/library,3.0-0,NA,3.4.1
caTools,/Users/ab/Library/R/3.4/library,1.17.1,NA,3.4.0
chron,/Users/ab/Library/R/3.4/library,2.3-52,NA,3.4.3
clipr,/Users/ab/Library/R/3.4/library,0.4.0,NA,3.4.2
clisymbols,/Users/ab/Library/R/3.4/library,1.2.0,NA,3.4.0
colourpicker,/Users/ab/Library/R/3.4/library,1.0,NA,3.4.2
compute.es,/Users/ab/Library/R/3.4/library,0.2-4,NA,3.4.0
covr,/Users/ab/Library/R/3.4/library,3.0.1,NA,3.4.2
coxme,/Users/ab/Library/R/3.4/library,2.2-7,optional,3.4.3
crosstalk,/Users/ab/Library/R/3.4/library,1.0.0,NA,3.4.0
data.table,/Users/ab/Library/R/3.4/library,1.10.4-3,NA,3.4.2
desc,/Users/ab/Library/R/3.4/library,1.1.1,NA,3.4.1
devtools,/Users/ab/Library/R/3.4/library,1.13.4,NA,3.4.2
doParallel,/Users/ab/Library/R/3.4/library,1.0.11,NA,3.4.2
DT,/Users/ab/Library/R/3.4/library,0.3,NA,3.4.3
effects,/Users/ab/Library/R/3.4/library,4.0-0,NA,3.4.1
enc,/Users/ab/Library/R/3.4/library,0.1,NA,3.4.2
extrafont,/Users/ab/Library/R/3.4/library,0.17,NA,3.4.0
extrafontdb,/Users/ab/Library/R/3.4/library,1.0,NA,3.4.0
foreach,/Users/ab/Library/R/3.4/library,1.4.4,NA,3.4.3
formatR,/Users/ab/Library/R/3.4/library,1.5,NA,3.4.0
fs,/Users/ab/Library/R/3.4/library,1.1.0,NA,3.4.3
fuzzyjoin,/Users/ab/Library/R/3.4/library,0.1.3,NA,3.4.1
geosphere,/Users/ab/Library/R/3.4/library,1.5-7,NA,3.4.2
ggedit,/Users/ab/Library/R/3.4/library,0.2.1,NA,3.4.0
ggThemeAssist,/Users/ab/Library/R/3.4/library,0.1.5,NA,3.4.0
gh,/Users/ab/Library/R/3.4/library,1.0.1,NA,3.4.1
git2r,/Users/ab/Library/R/3.4/library,0.21.0,NA,3.4.3
GPArotation,/Users/ab/Library/R/3.4/library,2014.11-1,NA,3.4.0
gridExtra,/Users/ab/Library/R/3.4/library,2.3,NA,3.4.1
